Course Hole,Avg Score,Avg O/U Par,Eagle,Birdie,Pars,Bogey,Dbl Bogey,Other,2017 Average,2018 rd 1,2018 rd 2,2018 rd 3,2018 rd 4,2018 Average
Sea Island Resort (Plantation) - 9,4.071,0.071,0,16,116,19,4,0,69.184,69.761,70.297,68.466,69.425,69.682
Torrey Pines GC (South) - 16,3.071,0.071,0,39,211,59,1,0,72.268,71.462,72.09,72.208,74.779,72.343
Pebble Beach GL - 3,4.069,0.069,0,31,163,29,6,2,71.801,70.699,71.161,71.994,72.053,71.389
Riviera CC - 7,4.067,0.067,0,70,273,87,6,0,71.012,72.203,72.135,70.605,71.382,71.759
Nicklaus Tournament Course - 18,4.065,0.065,0,20,109,23,2,1,70.787,69.316,69.323,70.805,71.234,70.015
TPC Summerlin - 10,4.061,0.061,0,73,286,68,11,3,69.623,71.174,72.284,72.192,70.231,71.542
CC of Jackson - 6,4.059,0.059,0,51,286,67,4,0,71.058,71.542,71.654,72.12,72.333,71.828
Waialae CC - 17,3.059,0.059,1,75,266,91,6,0,68.309,69.208,69.224,68.408,68.171,68.895
TPC Scottsdale - 7,3.059,0.059,0,42,298,62,2,0,70.192,70.893,70.047,69.903,70.208,70.324
Nicklaus Tournament Course - 9,4.058,0.058,0,19,114,16,6,0,70.787,69.316,69.323,70.805,71.234,70.015
Torrey Pines GC (South) - 3,3.058,0.058,0,47,205,54,3,1,72.268,71.462,72.09,72.208,74.779,72.343
Silverado Resort and Spa North - 8,4.055,0.055,0,75,281,63,15,2,70.827,71.965,71.035,70.787,73.693,71.757
Riviera CC - 10,4.055,0.055,1,87,249,86,12,1,71.012,72.203,72.135,70.605,71.382,71.759
Waialae CC - 8,4.052,0.052,0,68,288,77,5,1,68.309,69.208,69.224,68.408,68.171,68.895
La Quinta CC - 12,3.052,0.052,0,16,116,20,2,0,70.787,69.316,69.323,70.805,71.234,70.015
Spyglass Hill GC - 9,4.052,0.052,0,17,114,21,2,0,71.801,70.699,71.161,71.994,72.053,71.389
Waialae CC - 1,4.048,0.048,0,58,307,69,5,0,68.309,69.208,69.224,68.408,68.171,68.895
Waialae CC - 16,4.048,0.048,0,65,298,68,6,2,68.309,69.208,69.224,68.408,68.171,68.895
Sea Island Resort (Plantation) - 7,3.045,0.045,0,25,106,16,8,0,69.184,69.761,70.297,68.466,69.425,69.682
Nicklaus Tournament Course - 12,3.045,0.045,0,26,101,23,5,0,70.787,69.316,69.323,70.805,71.234,70.015
TPC Scottsdale - 4,3.045,0.045,0,49,291,62,1,1,70.192,70.893,70.047,69.903,70.208,70.324
